country,meropenem_res,meropenem_sus,ciprofloxacin_res,ciprofloxacin_sus,cefotaxime_res,cefotaxime_sus,total,meropenem_rate,ciprofloxacin_rate,cefotaxime_rate
USA:OK,0,17,3,18,0,0,38,0.0526,0.1739,0.5
Australia: WA,0,0,12,25,0,0,37,0.5,0.3333,0.5
USA: CT,0,0,0,36,0,0,36,0.5,0.0263,0.5
USA:AL,0,13,0,23,0,0,36,0.0667,0.04,0.5
USA: MN,0,0,0,34,1,0,35,0.5,0.0278,0.6667
Greece,15,2,15,2,0,0,34,0.8421,0.8421,0.5
USA:ID,0,8,2,23,0,0,33,0.1,0.1111,0.5
South Africa: Pretoria,9,5,8,1,8,1,32,0.625,0.8182,0.8182
USA: CO,0,0,0,31,0,0,31,0.5,0.0303,0.5
Nepal,13,3,4,11,0,0,31,0.7778,0.2941,0.5
Dominican Republic,2,0,27,2,0,0,31,0.75,0.9032,0.5
USA:Cincinnati,0,15,3,12,0,0,30,0.0588,0.2353,0.5
Nigeria: Jos,0,10,0,10,0,10,30,0.0833,0.0833,0.0833
South Korea,0,2,8,18,1,1,30,0.25,0.3214,0.5
Kazakhstan: Almaty,1,23,0,4,0,0,28,0.0769,0.1667,0.5
Jordan,4,6,4,5,6,1,26,0.4167,0.4545,0.7778
Kenya: Nairobi,4,3,6,5,6,1,25,0.5556,0.5385,0.7778
Germany: Cologne,1,11,0,12,0,0,24,0.1429,0.0714,0.5
USA: LA,0,0,0,23,0,0,23,0.5,0.04,0.5
USA: TN,0,0,0,22,0,0,22,0.5,0.0417,0.5
Afghanistan,6,4,9,1,2,0,22,0.5833,0.8333,0.75
USA:IN,0,7,0,15,0,0,22,0.1111,0.0588,0.5
India,9,1,1,1,9,0,21,0.8333,0.5,0.9091
USA:AR,0,7,1,13,0,0,21,0.1111,0.125,0.5
USA: OR,0,0,0,21,0,0,21,0.5,0.0435,0.5
USA: Virginia,2,5,2,5,2,5,21,0.3333,0.3333,0.3333
Australia: ACT,0,0,4,16,0,0,20,0.5,0.2273,0.5
Australia: SA,0,0,2,18,0,0,20,0.5,0.1364,0.5
USA: Alaska,2,6,8,0,0,4,20,0.3,0.9,0.1667
Australia: VIC,0,0,4,16,0,0,20,0.5,0.2273,0.5
Australia: NSW,0,0,3,17,0,0,20,0.5,0.1818,0.5
